    0.561941862106323242E+00   -0.127271103858947754E+01    0.399877881684219342E-02    0.561941862106323242E+00    0.399877881684219342E-02   -0.693088569612996253E+01   -0.529831319988485294E+01    1
    0.616815090179443359E+00   -0.188027572631835938E+01    0.399821201384416552E-02    0.616815090179443359E+00    0.399821201384416552E-02   -0.693068616660220105E+01   -0.530331319988484751E+01    1
    0.530372798442840576E+00   -0.260339248180389404E+01    0.399859405062360802E-02    0.530372798442840576E+00    0.399859405062360802E-02   -0.692461543308750471E+01   -0.530831319988485095E+01    1
    0.720360517501831055E+00   -0.286103135347366333E+01    0.399800296787641493E-02    0.720360517501831055E+00    0.399800296787641493E-02   -0.691829595379594231E+01   -0.531331319988484285E+01    1
    0.485628545284271240E+00   -0.288659745454788208E+01    0.399878557459219016E-02    0.485628545284271240E+00    0.399878557459219016E-02   -0.687816562060978320E+01   -0.531831319988483830E+01    1
    0.746103227138519287E+00   -0.390208840370178223E+00    0.399858935770591728E-02    0.746103227138519287E+00    0.399858935770591728E-02   -0.687561228771550503E+01   -0.532331319988484530E+01    1
    0.735581994056701660E+00   -0.239870846271514893E+01    0.399803511753467605E-02    0.735581994056701660E+00    0.399803511753467605E-02   -0.686166386876344347E+01   -0.532831319988484609E+01    1
    0.186537086963653564E+00   -0.276691925525665283E+01    0.399874305463302632E-02    0.186537086963653564E+00    0.399874305463302632E-02   -0.684476338394890327E+01   -0.533331319988484154E+01    1
    0.885775625705718994E+00   -0.203751701116561890E+01    0.399859263078924162E-02    0.885775625705718994E+00    0.399859263078924162E-02   -0.679877314100115449E+01   -0.533831319988483788E+01    1
    0.213926017284393311E+00   -0.295118486881256104E+01    0.399873603453683880E-02    0.213926017284393311E+00    0.399873603453683880E-02   -0.679637467085528790E+01   -0.534331319988483511E+01    1
    0.532566308975219727E+00   -0.225883483886718750E+01    0.399859396444593451E-02    0.532566308975219727E+00    0.399859396444593451E-02   -0.678361608116617987E+01   -0.534831319988484299E+01    1
    0.967502832412719727E+00   -0.263542449474334717E+01    0.399815705327035906E-02    0.967502832412719727E+00    0.399815705327035906E-02   -0.677563000548983307E+01   -0.535331319988485443E+01    1
    0.572778582572937012E+00   -0.376624345779418945E+00    0.399876811775058769E-02    0.572778582572937012E+00    0.399876811775058769E-02   -0.676435719003865366E+01   -0.535831319988483568E+01    1
    0.469952166080474854E+00   -0.248857891559600830E+01    0.399831625036354069E-02    0.469952166080474854E+00    0.399831625036354069E-02   -0.658678120674873036E+01   -0.536331319988484623E+01    1
