    0.693120206339465250E+00   -0.185355218426454060E+01    0.399840029522671725E-02    0.693120206339465250E+00    0.399840029522671725E-02    0.225315044573805761E+06
    0.693668055833528086E+00   -0.185399871538615590E+01    0.399840023569598014E-02    0.693668055833528086E+00    0.399840023569598014E-02    0.225317025477874937E+06
    0.693413189147689124E+00   -0.185247891594700631E+01    0.399840025743861474E-02    0.693413189147689124E+00    0.399840025743861474E-02    0.225318281785754778E+06
    0.693179601745559371E+00   -0.185523902084213499E+01    0.399840029638182538E-02    0.693179601745559371E+00    0.399840029638182538E-02    0.225318770954752894E+06
    0.693291368546368636E+00   -0.185036543943187048E+01    0.399840029696535426E-02    0.693291368546368636E+00    0.399840029696535426E-02    0.225318888539306732E+06
    0.693619449754602546E+00   -0.185223983842627549E+01    0.399840023818570124E-02    0.693619449754602546E+00    0.399840023818570124E-02    0.225319040141886449E+06
    0.693253579783571494E+00   -0.185541577706467198E+01    0.399840029889817969E-02    0.693253579783571494E+00    0.399840029889817969E-02    0.225319211631665035E+06
    0.693019442212164716E+00   -0.185321876183895751E+01    0.399840033948133458E-02    0.693019442212164716E+00    0.399840033948133458E-02    0.225319230028682476E+06
    0.693102239337735848E+00   -0.185546363241395817E+01    0.399840031796475006E-02    0.693102239337735848E+00    0.399840031796475006E-02    0.225319326512075029E+06
    0.692863766954525562E+00   -0.185321697256168294E+01    0.399840034337549735E-02    0.692863766954525562E+00    0.399840034337549735E-02    0.225319387950150238E+06
    0.693540869901576928E+00   -0.185435082990610378E+01    0.399840025174578225E-02    0.693540869901576928E+00    0.399840025174578225E-02    0.225319505662642972E+06
    0.693215683209584155E+00   -0.185019893308418304E+01    0.399840030563114023E-02    0.693215683209584155E+00    0.399840030563114023E-02    0.225319507908735861E+06
    0.693228036190984720E+00   -0.185208528637098535E+01    0.399840028455881492E-02    0.693228036190984720E+00    0.399840028455881492E-02    0.225319579435537453E+06
    0.693146166677495512E+00   -0.185029687002603582E+01    0.399840030316078298E-02    0.693146166677495512E+00    0.399840030316078298E-02    0.225319704681426752E+06
    0.693086190312987016E+00   -0.185345802692478268E+01    0.399840032969866945E-02    0.693086190312987016E+00    0.399840032969866945E-02    0.225319782533420017E+06
    0.693509603681468301E+00   -0.185168251930827532E+01    0.399840025021150607E-02    0.693509603681468301E+00    0.399840025021150607E-02    0.225319876832662063E+06
    0.693434737610079344E+00   -0.185264822187424349E+01    0.399840027805259401E-02    0.693434737610079344E+00    0.399840027805259401E-02    0.225319933038898744E+06
    0.693000451275964879E+00   -0.185475228489691868E+01    0.399840033489489051E-02    0.693000451275964879E+00    0.399840033489489051E-02    0.225319957201238809E+06
    0.692833852732845701E+00   -0.185300067407965763E+01    0.399840035269432778E-02    0.692833852732845701E+00    0.399840035269432778E-02    0.225319974067222269E+06
    0.693088416583029221E+00   -0.185080767496219933E+01    0.399840030960505171E-02    0.693088416583029221E+00    0.399840030960505171E-02    0.225319978198443743E+06
    0.693401727710546978E+00   -0.185502604721954789E+01    0.399840027028886338E-02    0.693401727710546978E+00    0.399840027028886338E-02    0.225319978290471103E+06
    0.692853565275426853E+00   -0.185353856521234017E+01    0.399840035294241492E-02    0.692853565275426853E+00    0.399840035294241492E-02    0.225320062935844471E+06
    0.693163946666694120E+00   -0.185481434132848588E+01    0.399840029907942793E-02    0.693163946666694120E+00    0.399840029907942793E-02    0.225320101898467925E+06
    0.693393357673511845E+00   -0.185453068679025068E+01    0.399840028030830179E-02    0.693393357673511845E+00    0.399840028030830179E-02    0.225320166226139787E+06
    0.692933833920607811E+00   -0.185177059033893987E+01    0.399840034700372875E-02    0.692933833920607811E+00    0.399840034700372875E-02    0.225320184499734751E+06
    0.693429546778424721E+00   -0.185464459183422292E+01    0.399840026405186028E-02    0.693429546778424721E+00    0.399840026405186028E-02    0.225320221067426872E+06
    0.693569965174269276E+00   -0.185311703178153842E+01    0.399840024569937929E-02    0.693569965174269276E+00    0.399840024569937929E-02    0.225320272780348518E+06
    0.693502514196777442E+00   -0.185169937996757272E+01    0.399840025213469945E-02    0.693502514196777442E+00    0.399840025213469945E-02    0.225320329771765799E+06
    0.692959653652339469E+00   -0.185163376907623523E+01    0.399840034335013396E-02    0.692959653652339469E+00    0.399840034335013396E-02    0.225320404209455533E+06
    0.693236408693368666E+00   -0.185192732478298483E+01    0.399840028481707101E-02    0.693236408693368666E+00    0.399840028481707101E-02    0.225320412613377790E+06
    0.693407802043679355E+00   -0.185486127901095466E+01    0.399840027228472519E-02    0.693407802043679355E+00    0.399840027228472519E-02    0.225320447419902135E+06
    0.693152703193669173E+00   -0.185336761869704181E+01    0.399840029696298376E-02    0.693152703193669173E+00    0.399840029696298376E-02    0.225320503235239885E+06
    0.693150813989372616E+00   -0.185519164033503370E+01    0.399840030670172396E-02    0.693150813989372616E+00    0.399840030670172396E-02    0.225320505719198671E+06
    0.693472135743207985E+00   -0.185096597205536906E+01    0.399840026292329776E-02    0.693472135743207985E+00    0.399840026292329776E-02    0.225320512825284095E+06
    0.693114888050508693E+00   -0.185443981572515249E+01    0.399840032175966410E-02    0.693114888050508693E+00    0.399840032175966410E-02    0.225320560888580774E+06
    0.693517478909317808E+00   -0.185394778171778252E+01    0.399840025610122968E-02    0.693517478909317808E+00    0.399840025610122968E-02    0.225320658020536561E+06
    0.693142801559112676E+00   -0.185457244475954663E+01    0.399840031705192295E-02    0.693142801559112676E+00    0.399840031705192295E-02    0.225320700130933430E+06
    0.693398747625553979E+00   -0.185080239446325634E+01    0.399840027678318062E-02    0.693398747625553979E+00    0.399840027678318062E-02    0.225320737790243264E+06
    0.693057896423494246E+00   -0.185463543851953494E+01    0.399840031688527241E-02    0.693057896423494246E+00    0.399840031688527241E-02    0.225320758945520443E+06
